object_class,filepath
bear,train/n02132136/n02132136_1001.jpg
bear,train/n02132136/n02132136_10024.jpg
bear,train/n02132136/n02132136_10029.jpg
bear,train/n02132136/n02132136_10030.jpg
bear,train/n02132136/n02132136_10057.jpg
bear,train/n02132136/n02132136_1006.jpg
bear,train/n02132136/n02132136_10060.jpg
bear,train/n02132136/n02132136_10081.jpg
bear,train/n02132136/n02132136_10107.jpg
bear,train/n02132136/n02132136_10113.jpg
bear,train/n02132136/n02132136_10132.jpg
bear,train/n02132136/n02132136_10134.jpg
bear,train/n02132136/n02132136_1016.jpg
bear,train/n02132136/n02132136_10175.jpg
bear,train/n02132136/n02132136_10180.jpg
bear,train/n02132136/n02132136_10200.jpg
bear,train/n02132136/n02132136_10212.jpg
bear,train/n02132136/n02132136_1023.jpg
bear,train/n02132136/n02132136_10236.jpg
bear,train/n02132136/n02132136_1024.jpg
bear,train/n02132136/n02132136_10264.jpg
bear,train/n02132136/n02132136_10281.jpg
bear,train/n02132136/n02132136_10284.jpg
bear,train/n02132136/n02132136_1029.jpg
bear,train/n02132136/n02132136_10301.jpg
bear,train/n02132136/n02132136_10309.jpg
bear,train/n02132136/n02132136_1031.jpg
bear,train/n02132136/n02132136_10318.jpg
bear,train/n02132136/n02132136_10324.jpg
bear,train/n02132136/n02132136_10326.jpg
bear,train/n02132136/n02132136_10344.jpg
bear,train/n02132136/n02132136_10345.jpg
bear,train/n02132136/n02132136_10352.jpg
bear,train/n02132136/n02132136_10375.jpg
bear,train/n02132136/n02132136_10385.jpg
bear,train/n02132136/n02132136_10391.jpg
bear,train/n02132136/n02132136_10404.jpg
bear,train/n02132136/n02132136_10412.jpg
bear,train/n02132136/n02132136_10420.jpg
bear,train/n02132136/n02132136_10422.jpg
bear,train/n02132136/n02132136_10423.jpg
bear,train/n02132136/n02132136_10428.jpg
bear,train/n02132136/n02132136_10445.jpg
bear,train/n02132136/n02132136_10461.jpg
bear,train/n02132136/n02132136_10463.jpg
bear,train/n02132136/n02132136_10468.jpg
bear,train/n02132136/n02132136_10496.jpg
bear,train/n02132136/n02132136_10514.jpg
bear,train/n02132136/n02132136_1053.jpg
bear,train/n02132136/n02132136_10559.jpg
bear,train/n02132136/n02132136_1056.jpg
bear,train/n02132136/n02132136_10560.jpg
bear,train/n02132136/n02132136_10564.jpg
bear,train/n02132136/n02132136_10572.jpg
bear,train/n02132136/n02132136_10577.jpg
bear,train/n02132136/n02132136_10603.jpg
bear,train/n02132136/n02132136_10620.jpg
bear,train/n02132136/n02132136_10622.jpg
bear,train/n02132136/n02132136_10624.jpg
bear,train/n02132136/n02132136_10625.jpg
bear,train/n02132136/n02132136_10628.jpg
bear,train/n02132136/n02132136_1064.jpg
bear,train/n02132136/n02132136_10654.jpg
bear,train/n02132136/n02132136_10684.jpg
bear,train/n02132136/n02132136_10693.jpg
bear,train/n02132136/n02132136_10709.jpg
bear,train/n02132136/n02132136_10740.jpg
bear,train/n02132136/n02132136_1076.jpg
bear,train/n02132136/n02132136_10767.jpg
bear,train/n02132136/n02132136_10769.jpg
bear,train/n02132136/n02132136_10775.jpg
bear,train/n02132136/n02132136_10790.jpg
bear,train/n02132136/n02132136_10811.jpg
bear,train/n02132136/n02132136_10833.jpg
bear,train/n02132136/n02132136_10837.jpg
bear,train/n02132136/n02132136_10841.jpg
bear,train/n02132136/n02132136_10875.jpg
bear,train/n02132136/n02132136_10884.jpg
bear,train/n02132136/n02132136_1089.jpg
bear,train/n02132136/n02132136_10907.jpg
bear,train/n02132136/n02132136_10920.jpg
bear,train/n02132136/n02132136_1093.jpg
bear,train/n02132136/n02132136_10944.jpg
bear,train/n02132136/n02132136_10962.jpg
bear,train/n02132136/n02132136_10978.jpg
bear,train/n02132136/n02132136_10979.jpg
bear,train/n02132136/n02132136_10988.jpg
bear,train/n02132136/n02132136_10990.jpg
bear,train/n02132136/n02132136_110.jpg
bear,train/n02132136/n02132136_11015.jpg
bear,train/n02132136/n02132136_11027.jpg
bear,train/n02132136/n02132136_11036.jpg
bear,train/n02132136/n02132136_11050.jpg
bear,train/n02132136/n02132136_11072.jpg
bear,train/n02132136/n02132136_111.jpg
bear,train/n02132136/n02132136_11107.jpg
bear,train/n02132136/n02132136_11115.jpg
bear,train/n02132136/n02132136_11123.jpg
bear,train/n02132136/n02132136_11125.jpg
bear,train/n02132136/n02132136_11127.jpg
bear,train/n02132136/n02132136_11142.jpg
bear,train/n02132136/n02132136_11149.jpg
bear,train/n02132136/n02132136_11159.jpg
bear,train/n02132136/n02132136_11173.jpg
bear,train/n02132136/n02132136_11183.jpg
bear,train/n02132136/n02132136_11198.jpg
bear,train/n02132136/n02132136_11217.jpg
bear,train/n02132136/n02132136_11246.jpg
bear,train/n02132136/n02132136_1126.jpg
bear,train/n02132136/n02132136_11285.jpg
bear,train/n02132136/n02132136_1132.jpg
bear,train/n02132136/n02132136_11325.jpg
bear,train/n02132136/n02132136_11327.jpg
bear,train/n02132136/n02132136_11339.jpg
bear,train/n02132136/n02132136_1141.jpg
bear,train/n02132136/n02132136_1152.jpg
bear,train/n02132136/n02132136_1153.jpg
bear,train/n02132136/n02132136_1156.jpg
bear,train/n02132136/n02132136_1157.jpg
bear,train/n02132136/n02132136_1163.jpg
bear,train/n02132136/n02132136_11640.jpg
bear,train/n02132136/n02132136_11643.jpg
bear,train/n02132136/n02132136_11693.jpg
bear,train/n02132136/n02132136_1181.jpg
bear,train/n02132136/n02132136_1183.jpg
bear,train/n02132136/n02132136_11855.jpg
bear,train/n02132136/n02132136_1186.jpg
bear,train/n02132136/n02132136_11912.jpg
bear,train/n02132136/n02132136_11933.jpg
bear,train/n02132136/n02132136_11969.jpg
bear,train/n02132136/n02132136_12053.jpg
bear,train/n02132136/n02132136_12060.jpg
bear,train/n02132136/n02132136_12096.jpg
bear,train/n02132136/n02132136_1211.jpg
bear,train/n02132136/n02132136_12113.jpg
bear,train/n02132136/n02132136_12138.jpg
bear,train/n02132136/n02132136_1218.jpg
bear,train/n02132136/n02132136_1219.jpg
bear,train/n02132136/n02132136_12191.jpg
bear,train/n02132136/n02132136_12198.jpg
bear,train/n02132136/n02132136_12220.jpg
bear,train/n02132136/n02132136_12255.jpg
bear,train/n02132136/n02132136_12326.jpg
bear,train/n02132136/n02132136_1236.jpg
bear,train/n02132136/n02132136_12391.jpg
bear,train/n02132136/n02132136_12400.jpg
bear,train/n02132136/n02132136_12401.jpg
bear,train/n02132136/n02132136_12477.jpg
bear,train/n02132136/n02132136_1249.jpg
bear,train/n02132136/n02132136_12577.jpg
bear,train/n02132136/n02132136_1259.jpg
bear,train/n02132136/n02132136_12593.jpg
bear,train/n02132136/n02132136_12616.jpg
bear,train/n02132136/n02132136_1278.jpg
bear,train/n02132136/n02132136_12845.jpg
bear,train/n02132136/n02132136_1285.jpg
bear,train/n02132136/n02132136_129.jpg
bear,train/n02132136/n02132136_130.jpg
bear,train/n02132136/n02132136_1301.jpg
bear,train/n02132136/n02132136_13018.jpg
bear,train/n02132136/n02132136_13071.jpg
bear,train/n02132136/n02132136_13078.jpg
bear,train/n02132136/n02132136_13097.jpg
bear,train/n02132136/n02132136_131.jpg
bear,train/n02132136/n02132136_13183.jpg
bear,train/n02132136/n02132136_13370.jpg
bear,train/n02132136/n02132136_1338.jpg
bear,train/n02132136/n02132136_1343.jpg
bear,train/n02132136/n02132136_13440.jpg
bear,train/n02132136/n02132136_13441.jpg
bear,train/n02132136/n02132136_13447.jpg
bear,train/n02132136/n02132136_1350.jpg
bear,train/n02132136/n02132136_13556.jpg
bear,train/n02132136/n02132136_13578.jpg
bear,train/n02132136/n02132136_13587.jpg
bear,train/n02132136/n02132136_13604.jpg
bear,train/n02132136/n02132136_13623.jpg
bear,train/n02132136/n02132136_13666.jpg
bear,train/n02132136/n02132136_13668.jpg
bear,train/n02132136/n02132136_1369.jpg
bear,train/n02132136/n02132136_13746.jpg
bear,train/n02132136/n02132136_1380.jpg
bear,train/n02132136/n02132136_1386.jpg
bear,train/n02132136/n02132136_13864.jpg
bear,train/n02132136/n02132136_1389.jpg
bear,train/n02132136/n02132136_1391.jpg
bear,train/n02132136/n02132136_13912.jpg
