architecture,architecture_camel,batch_size,num_params,final_embedding_layer
alexnet,AlexNet,2048,61100840,features.11
convnext_base,ConvNeXt_Base,256,88591464,features.7.2.block.0
convnext_large,ConvNeXt_Large,128,197767336,features.7.2.block.0
convnext_small,ConvNeXt_Small,256,50223688,features.7.2.block.0
convnext_tiny,ConvNeXt_Tiny,512,28589128,features.7.2.block.0
cornet_rt,CORnet-RT,1024,5208936,IT.nonlin1
cornet_s,CORnet-S,512,53416616,IT.nonlin3
cornet_z,CORnet-Z,2048,2071656,IT.nonlin
densenet121,DenseNet121,512,7978856,features.norm5
densenet161,DenseNet161,256,28681000,features.norm5
densenet169,DenseNet169,256,14149480,features.norm5
densenet201,DenseNet201,256,20013928,features.norm5
efficientnet_b0,EfficientNet_B0,512,5288548,features.8.2
efficientnet_b1,EfficientNet_B1,512,7794184,features.8.2
efficientnet_b2,EfficientNet_B2,512,9109994,features.8.2
efficientnet_b3,EfficientNet_B3,256,12233232,features.8.2
efficientnet_b4,EfficientNet_B4,256,19341616,features.8.2
efficientnet_b5,EfficientNet_B5,128,30389784,features.8.2
efficientnet_b6,EfficientNet_B6,128,43040704,features.8.2
efficientnet_b7,EfficientNet_B7,64,66347960,features.8.2
efficientnet_v2_l,EfficientNet_V2_L,128,118515272,features.8.2
efficientnet_v2_m,EfficientNet_V2_M,256,54139356,features.8.2
efficientnet_v2_s,EfficientNet_V2_S,256,21458488,features.7.2
googlenet,GoogLeNet,1024,13004888,aux2.conv.bn
inception_v3,Inception_V3,1024,27161264,Mixed_7c.branch_pool.bn
maxvit_t,MaxVit_T,128,30919624,blocks.3.layers.1.layers.MBconv.layers.conv_c
mnasnet0_5,MNASNet0_5,1024,2218512,layers.16
mnasnet0_75,MNASNet0_75,1024,3170208,layers.16
mnasnet1_0,MNASNet1_0,1024,4383312,layers.16
mnasnet1_3,MNASNet1_3,512,6282256,layers.16
mobilenet_v2,MobileNet_V2,512,3504872,features.18.2
mobilenet_v3_large,MobileNet_V3_Large,1024,5483032,features.16.1
mobilenet_v3_small,MobileNet_V3_Small,2048,2542856,features.12.1
regnet_x_16gf,RegNet_X_16GF,128,54278536,trunk_output.block4.block4-0.activation
regnet_x_32gf,RegNet_X_32GF,128,107811560,trunk_output.block4.block4-0.activation
regnet_x_400mf,RegNet_X_400MF,1024,5495976,trunk_output.block4.block4-11.activation
regnet_x_800mf,RegNet_X_800MF,1024,7259656,trunk_output.block4.block4-4.activation
regnet_x_8gf,RegNet_X_8GF,256,39572648,trunk_output.block4.block4-0.activation
regnet_y_128gf,RegNet_Y_128GF,64,644812894,trunk_output.block4.block4-0.activation
regnet_y_16gf,RegNet_Y_16GF,128,83590140,trunk_output.block4.block4-0.activation
regnet_y_32gf,RegNet_Y_32GF,128,145046770,trunk_output.block4.block4-0.activation
regnet_y_400mf,RegNet_Y_400MF,1024,4344144,trunk_output.block4.block4-5.activation
regnet_y_800mf,RegNet_Y_800MF,1024,6432512,trunk_output.block4.block4-1.activation
regnet_y_8gf,RegNet_Y_8GF,256,39381472,trunk_output.block4.block4-0.activation
resnet101,ResNet101,256,44549160,layer4.2.relu
resnet152,ResNet152,128,60192808,layer4.2.relu
resnet18,ResNet18,2048,11689512,layer4.1.bn2
resnet34,ResNet34,1024,21797672,layer4.2.bn2
resnet50,ResNet50,512,25557032,layer4.2.relu
resnext101_32x8d,ResNeXt101_32X8D,128,88791336,layer4.2.relu
resnext101_64x4d,ResNeXt101_64X4D,128,83455272,layer4.2.relu
resnext50_32x4d,ResNeXt50_32X4D,256,25028904,layer4.2.relu
shufflenet_v2_x0_5,ShuffleNet_V2_X0_5,2048,1366792,conv5.2
shufflenet_v2_x1_0,ShuffleNet_V2_X1_0,2048,2278604,conv5.2
shufflenet_v2_x1_5,ShuffleNet_V2_X1_5,2048,3503624,conv5.2
shufflenet_v2_x2_0,ShuffleNet_V2_X2_0,1024,7393996,conv5.2
squeezenet1_0,SqueezeNet1_0,2048,1248424,classifier.2
squeezenet1_1,SqueezeNet1_1,2048,1235496,classifier.2
swin_b,Swin_B,256,87768224,features.0.0
swin_s,Swin_S,256,49606258,features.0.0
swin_t,Swin_T,512,28288354,features.0.0
swin_v2_b,Swin_V2_B,256,87930848,features.0.0
swin_v2_s,Swin_V2_S,256,49737442,features.0.0
swin_v2_t,Swin_V2_T,512,28351570,features.0.0
vgg11,VGG11,1024,132863336,features.19
vgg11_bn,VGG11_BN,512,132868840,features.27
vgg13,VGG13,512,133047848,features.23
vgg13_bn,VGG13_BN,256,133053736,features.33
vgg16,VGG16,512,138357544,features.29
vgg16_bn,VGG16_BN,256,138365992,features.42
vgg19,VGG19,512,143667240,features.35
vgg19_bn,VGG19_BN,256,143678248,features.51
vit_b_16,ViT_B_16,512,86567656,conv_proj
vit_b_32,ViT_B_32,2048,88224232,conv_proj
vit_h_14,ViT_H_14,64,632045800,conv_proj
vit_l_16,ViT_L_16,128,304326632,conv_proj
vit_l_32,ViT_L_32,512,306535400,conv_proj
wide_resnet101_2,Wide_ResNet101_2,128,126886696,layer4.2.relu
wide_resnet50_2,Wide_ResNet50_2,256,68883240,layer4.2.relu
